trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",20,0,-62.401556514970046,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",20,3,-25.586250837011317,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",25,0,-28.53203168657929,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",30,1,-66.57334702300456,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",20,12,-6.377241087071695,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",20,11,16.82674508275182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,0,-59.65547858684476,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,6,-2.194809032758574,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",30,17,-4.216745798236058,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,10,22.653663824715963,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,7,14.608459277017124,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.37160171437460887}",25,9,-14.426142667137773,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3641696800871167}",30,0,-63.25491516674421,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.35688628648537435}",30,17,4.975406536553932,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.34974856075566685}",25,13,11.493399460345575,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3427535895405535}",30,9,-37.28304279360392,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
